0.0313801,1830992
0.0587887,19510
0.0657758,27777
0.0795919,430967
0.0873574,8730694
0.129784,1172969
0.132397,1086
0.137158,2125302
0.140074,8652
0.142045,21825
0.154355,301118
0.160362,78681
0.172006,29251
0.197257,1699138
0.206005,28331
0.213441,6359033
0.214679,79075
0.216219,705815
0.254027,4278
0.254373,4206
0.25903,5157719
0.2916,96732
0.299649,75969
0.318503,2618
0.328353,7200699
0.350195,1385343
0.367677,902891
0.370783,4402257
0.401025,22896
0.43933,893359
0.492965,658432
0.526449,6712127
0.535146,873748
0.576538,21582
0.627889,9844
0.664324,57373
0.680864,1860020
0.687151,22610
0.690705,125332
0.699924,5485995
0.701787,72025
0.726242,7500284
0.74598,1497708
0.753851,23226
0.76888,10477
0.791422,1934703
0.79449,4968
0.84579,78053
0.849107,1977980
0.871682,9814652
0.889139,6232
0.891619,5215
0.892859,64173
0.922173,1555808
0.923086,29995714
0.926997,8364
1.03171,4116195
1.03299,6647794
1.04841,12626
1.05692,2590854
1.06453,164737
1.07484,6642
1.08779,30859
1.17091,4328413
1.19448,2361
1.21806,6812610
1.25341,16289419
1.27671,19063825
1.29552,12793
1.32585,5132
1.3438,435837
1.34825,33373
1.35507,4944
1.37223,609056
1.38446,28004
1.39798,7552
1.40889,8165578
1.41915,3430533
1.4289,38988
1.44452,23389
1.46378,68908
1.47,16511
1.48664,53227
1.50702,501121
1.51431,272846
1.5312,35674
1.55428,6493882
1.57403,25726
1.58704,26049
1.62296,6249
1.62498,160040
1.64037,28877
1.66595,35928
1.66955,238
1.69961,17640
1.70943,6352170
1.7342,8076
1.75401,1742734
1.80305,3857513
1.80695,110929
1.81298,5688782
1.84843,159199
1.85147,3937368
1.86307,3468264
1.8748,16084
1.89452,9270
1.91033,3144008
1.93238,22196
1.94419,9215
1.95184,7278235
1.99276,3104832
2.02193,36994
2.03051,271062
2.03563,4836
2.03759,42719
2.04341,6076
2.05295,171834
2.05822,1617778
2.06966,4491097
2.08648,20784
2.10043,2898171
2.10901,35202
2.13138,19896418
2.13844,9071
2.1475,1832819
2.17297,7644
2.20731,3277
2.21751,1079090
2.22157,3955436
2.22325,46579
2.2294,2272859
2.23182,3561
2.24229,936611
2.25229,182234
2.26708,191506
2.27477,4661699
2.28585,277832
2.29861,193479
2.30317,4672
2.30495,13929
2.31619,2803082
2.32208,4348330
2.3293,673168
2.32993,1782573
2.34676,31631
2.35103,299536
2.35302,1822622
2.37477,50274
2.38126,23099
2.3896,10944
2.40347,46042
2.41171,1374077
2.41688,118256
2.46001,2293558
2.48049,567112
2.48059,3317288
2.49708,77349
2.50584,1188672
2.53355,10575
2.53412,885774
2.53768,1003011
2.55203,380
2.55827,642944
2.59161,38270
2.61045,626439
2.61688,17252
2.6198,2868719
2.63907,18222
2.64766,4067720
2.66122,7320328
2.66577,116759
2.71213,118688
2.76003,2424161
2.77547,26866630
2.82247,4229281
2.8377,1593235
2.86325,26278
2.87912,13390
2.90628,4190640
2.92497,295845
2.94052,94668
2.94326,2197
2.96392,2978272
2.9763,70725
2.98852,2430542
2.99683,62028
2.99949,24703
3.00843,1175967
3.02302,170312
3.03315,26776565
3.03418,526130
3.04975,21978
3.06677,1379385
3.07741,3517593
3.12961,4972583
3.15454,91558
3.15877,8558594
3.16951,9805494
3.17299,1802239
3.19787,25758
3.22241,36369
3.23122,121911
3.24788,67990
3.25552,6180191
