0.251041,1830992
0.47031,19510
0.526206,27777
0.636735,430967
0.698859,8730694
1.03827,1172969
1.05917,1086
1.09726,2125302
1.12059,8652
1.13636,21825
1.23484,301118
1.2829,78681
1.37604,29251
1.57805,1699138
1.64804,28331
1.70753,6359033
1.71743,79075
1.72975,705815
2.03221,4278
2.03498,4206
2.07224,5157719
2.3328,96732
2.39719,75969
2.54803,2618
2.62683,7200699
2.80156,1385343
2.94142,902891
2.96626,4402257
3.2082,22896
3.51464,893359
3.94372,658432
4.21159,6712127
4.28117,873748
4.61231,21582
5.02311,9844
5.31459,57373
5.44691,1860020
5.49721,22610
5.52564,125332
5.59939,5485995
5.6143,72025
5.80994,7500284
5.96784,1497708
6.0308,23226
6.15104,10477
6.33138,1934703
6.35592,4968
6.76632,78053
6.79285,1977980
6.97346,9814652
7.11311,6232
7.13295,5215
7.14287,64173
7.37738,1555808
7.38469,29995714
7.41598,8364
8.25365,4116195
8.26392,6647794
8.38729,12626
8.45534,2590854
8.51624,164737
8.59873,6642
8.70233,30859
9.36729,4328413
9.55588,2361
9.74446,6812610
10.0273,16289419
10.2137,19063825
10.3642,12793
10.6068,5132
10.7504,435837
10.786,33373
10.8406,4944
10.9778,609056
11.0757,28004
11.1838,7552
11.2711,8165578
11.3532,3430533
11.4312,38988
11.5562,23389
11.7102,68908
11.76,16511
11.8931,53227
12.0562,501121
12.1145,272846
12.2496,35674
12.4342,6493882
12.5923,25726
12.6963,26049
12.9837,6249
12.9998,160040
13.1229,28877
13.3276,35928
13.3564,238
13.5969,17640
13.6754,6352170
13.8736,8076
14.0321,1742734
14.4244,3857513
14.4556,110929
14.5039,5688782
14.7874,159199
14.8117,3937368
14.9046,3468264
14.9984,16084
15.1562,9270
15.2827,3144008
15.459,22196
15.5535,9215
15.6147,7278235
15.9421,3104832
16.1754,36994
16.2441,271062
16.2851,4836
16.3007,42719
16.3472,6076
16.4236,171834
16.4658,1617778
16.5573,4491097
16.6918,20784
16.8034,2898171
16.8721,35202
17.051,19896418
17.1075,9071
17.18,1832819
17.3838,7644
17.6585,3277
17.7401,1079090
17.7725,3955436
17.786,46579
17.8352,2272859
17.8545,3561
17.9383,936611
18.0183,182234
18.1366,191506
18.1981,4661699
18.2868,277832
18.3889,193479
18.4253,4672
18.4396,13929
18.5296,2803082
18.5766,4348330
